,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
84,pro-B cell,li,PRO B CELL,LYMPHOID,PRO B CELL
85,VCAM1+ EI macrophage,li,MACROPHAGE,MYELOID,MACROPHAGE
86,Fibroblast 1,ki,FIBROBLAST,STROMAL,FIBROBLAST
87,Stroma progenitor,ki,STROMA PROGENITOR,STROMAL,STROMA PROGENITOR
88,Fibroblast 2,ki,FIBROBLAST,STROMAL,FIBROBLAST
89,Myofibroblast 1,ki,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
90,Myofibroblast 2,ki,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
91,Proliferating myofibroblast,ki,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
92,Proliferating stroma progenitor,ki,STROMA PROGENITOR,STROMAL,STROMA PROGENITOR
93,Proliferating fibroblast,ki,FIBROBLAST,STROMAL,FIBROBLAST
94,Neuron,ki,NEURON,NEURONAL,NEURON
95,Endothelium,ki,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
96,CNT/PC - proximal UB,ki,NEPHRON,NEPHRON,NEPHRON
97,Medial S shaped body,ki,NEPHRON,NEPHRON,NEPHRON
98,Podocyte,ki,NEPHRON,NEPHRON,NEPHRON
99,Proliferating distal renal vesicle,ki,NEPHRON,NEPHRON,NEPHRON
100,Proximal tubule,ki,NEPHRON,NEPHRON,NEPHRON
101,Proximal S shaped body,ki,NEPHRON,NEPHRON,NEPHRON
102,Proliferating cap mesenchyme,ki,NEPHRON,NEPHRON,NEPHRON
103,Loop of Henle,ki,NEPHRON,NEPHRON,NEPHRON
104,Cap mesenchyme,ki,NEPHRON,NEPHRON,NEPHRON
105,Distal renal vesicle,ki,NEPHRON,NEPHRON,NEPHRON
106,Proximal UB,ki,NEPHRON,NEPHRON,NEPHRON
107,Distal S shaped body,ki,NEPHRON,NEPHRON,NEPHRON
108,Proximal renal vesicle,ki,NEPHRON,NEPHRON,NEPHRON
109,Pelvic epithelium - distal UB,ki,NEPHRON,NEPHRON,NEPHRON
110,Macrophage 1,ki,MACROPHAGE,MYELOID,MACROPHAGE
111,Megakaryocyte,ki,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
112,Mast cells,ki,MAST CELL,EO_BASO_MAST,MAST CELL
113,Proliferating monocyte,ki,MONOCYTE,MYELOID,MONOCYTE
114,Proliferating macrophage,ki,MACROPHAGE,MYELOID,MACROPHAGE
115,Neutrophil,ki,NEUTROPHIL,MYELOID,NEUTROPHIL
116,NK cell,ki,NK,LYMPHOID,NK
117,Erythroid,ki,ERYTHROID,ERYTHROID,ERYTHROID
118,cDC2,ki,DC,MYELOID,DC
119,Macrophage 2,ki,MACROPHAGE,MYELOID,MACROPHAGE
120,Innate like lymphocyte,ki,ILC,LYMPHOID,ILC
121,Proliferating NK cell,ki,NK,LYMPHOID,NK
122,Proliferating cDC2,ki,DC,MYELOID,DC
123,CD8 T cell,ki,SP T CELL,LYMPHOID,SP T CELL
124,Monocyte,ki,MONOCYTE,MYELOID,MONOCYTE
125,pDC,ki,PDC,LYMPHOID,PDC
126,CD4 T cell,ki,SP T CELL,LYMPHOID,SP T CELL
127,cDC1,ki,DC,MYELOID,DC
128,Proliferating B cell,ki,B CELL,LYMPHOID,B CELL
129,B cell,ki,B CELL,LYMPHOID,B CELL
130,CD8+T,th,SP T CELL,LYMPHOID,SP T CELL
131,CD4+T,th,SP T CELL,LYMPHOID,SP T CELL
132,CD8αα(I),th,SP T CELL,LYMPHOID,SP T CELL
133,αβT(entry),th,SP T CELL,LYMPHOID,SP T CELL
134,CD8αα(II),th,SP T CELL,LYMPHOID,SP T CELL
135,Th17,th,SP T CELL,LYMPHOID,SP T CELL
136,γδT,th,SP T CELL,LYMPHOID,SP T CELL
137,CD8+Tmem,th,SP T CELL,LYMPHOID,SP T CELL
138,CD4+Tmem,th,SP T CELL,LYMPHOID,SP T CELL
139,CD4+CTL,th,SP T CELL,LYMPHOID,SP T CELL
140,Tfh,th,SP T CELL,LYMPHOID,SP T CELL
141,CD4+PD1,th,SP T CELL,LYMPHOID,SP T CELL
142,DP(P),th,DP T CELL,LYMPHOID,DP T CELL
143,DP(Q),th,DP T CELL,LYMPHOID,DP T CELL
144,DN(Q),th,DN T CELL,LYMPHOID,DN T CELL
145,DN(P),th,DN T CELL,LYMPHOID,DN T CELL
146,DN(early),th,DN T CELL,LYMPHOID,DN T CELL
147,Treg(diff),th,TREG,LYMPHOID,TREG
148,T(agonist),th,TREG,LYMPHOID,TREG
149,Treg,th,TREG,LYMPHOID,TREG
150,Mono,th,MONOCYTE,MYELOID,MONOCYTE
151,B_naive,th,B CELL,LYMPHOID,B CELL
152,B_memory,th,B CELL,LYMPHOID,B CELL
153,B_plasma,th,B CELL,LYMPHOID,B CELL
154,B_pro/pre,th,PRE PRO B CELL,LYMPHOID,PRE PRO B CELL
155,DC2,th,DC,MYELOID,DC
156,DC1,th,DC,MYELOID,DC
157,aDC1,th,DC,MYELOID,DC
158,aDC3,th,DC,MYELOID,DC
159,aDC2,th,DC,MYELOID,DC
160,pDC,th,PDC,LYMPHOID,PDC
161,NKT,th,NK T,LYMPHOID,NK T
162,Mac,th,MACROPHAGE,MYELOID,MACROPHAGE
163,NMP,th,NEUTROPHIL-MYELOID PROGENITOR,MYELOID,NEUTROPHIL-MYELOID PROGENITOR
164,Fb_1,th,FIBROBLAST,STROMAL,FIBROBLAST
165,Fb_2,th,FIBROBLAST,STROMAL,FIBROBLAST
166,Fb_cycling,th,FIBROBLAST,STROMAL,FIBROBLAST
167,NK,th,NK,LYMPHOID,NK
168,Mast,th,MAST CELL,EO_BASO_MAST,MAST CELL
169,ETP,th,LYMPHOID PROGENITOR,HSC_MPP,LYMPHOID PROGENITOR
170,ILC3,th,ILC,LYMPHOID,ILC
171,Ery,th,ERYTHROCYTE,ERYTHROID,ERYTHROID
172,VSMC,th,SMOOTH MUSCLE/PERICYTE,VASCULATURE,SMOOTH MUSCLE/PERICYTE
173,mTEC(I),th,EPITHELIUM,EPI,EPITHELIUM
174,TEC(neuro),th,EPITHELIUM,EPI,EPITHELIUM
175,mTEC(II),th,EPITHELIUM,EPI,EPITHELIUM
176,cTEC,th,EPITHELIUM,EPI,EPITHELIUM
177,mcTEC,th,EPITHELIUM,EPI,EPITHELIUM
178,TEC(myo),th,EPITHELIUM,EPI,EPITHELIUM
179,mTEC(III),th,EPITHELIUM,EPI,EPITHELIUM
180,mTEC(IV),th,EPITHELIUM,EPI,EPITHELIUM
181,Epi_GCM2,th,EPITHELIUM,EPI,EPITHELIUM
182,Endo,th,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
183,Mgk,th,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
184,Lymph,th,LYMPHATIC,VASCULATURE,LYMPHATIC
185,CMP,ys,CMP,HSC_MPP,COMMON_MYELOID_PROGENITOR
186,DC2,ys,DC,MYELOID,DC
187,Early_Erythroid,ys,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
188,Endoderm,ys,ENDODERM,EPI,ENDODERM
